STUDY_ID	SAMPLE_ID	MYC	BASP1
all_phase2_target_2018_pub	TARGET-10-PAPCVZ-04	13.5971	2.3202
all_phase2_target_2018_pub	TARGET-10-PAPCVZ-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPDEE-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPDEE-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPDJM-04	60.0548	9.4286
all_phase2_target_2018_pub	TARGET-10-PAPDJM-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPDKJ-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPDKJ-09	14.3312	2.5776
all_phase2_target_2018_pub	TARGET-10-PAPDUF-09	29.1248	5.1711
all_phase2_target_2018_pub	TARGET-10-PAPDUV-04	18.1735	0.4595
all_phase2_target_2018_pub	TARGET-10-PAPDUV-09	45.1875	0.63
all_phase2_target_2018_pub	TARGET-10-PAPDWT-04	22.5813	0.0872
all_phase2_target_2018_pub	TARGET-10-PAPDWT-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPEAB-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPEAB-04	63.9342	0.6056
all_phase2_target_2018_pub	TARGET-10-PAPEAB-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPECF-04	12.4237	10.2282
all_phase2_target_2018_pub	TARGET-10-PAPECF-09	36.4412	14.3589
all_phase2_target_2018_pub	TARGET-10-PAPEFH-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPEFH-04	19.2511	1.948
all_phase2_target_2018_pub	TARGET-10-PAPEFH-09	14.7585	1.5079
all_phase2_target_2018_pub	TARGET-10-PAPEGV-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPEGV-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPEJN-04	10.9422	9.6579
all_phase2_target_2018_pub	TARGET-10-PAPEJN-09	6.9883	17.8803
all_phase2_target_2018_pub	TARGET-10-PAPELE-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPERG-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPERG-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPESW-09	17.408	0.589
all_phase2_target_2018_pub	TARGET-10-PAPFDT-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPFWH-09	13.3647	0.4299
all_phase2_target_2018_pub	TARGET-10-PAPGFP-04	19.0129	1.0136
all_phase2_target_2018_pub	TARGET-10-PAPGFP-09	24.8192	1.268
all_phase2_target_2018_pub	TARGET-10-PAPGYC-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPGYC-09	41.3893	2.4824
