STUDY_ID	SAMPLE_ID	MYC	PHB
coadread_dfci_2016	coadread_dfci_2016_3399	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2423	NA	NA
coadread_dfci_2016	coadread_dfci_2016_302124	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2372	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4538	NA	NA
coadread_dfci_2016	coadread_dfci_2016_115875	NA	NA
coadread_dfci_2016	coadread_dfci_2016_462	NA	NA
coadread_dfci_2016	coadread_dfci_2016_224049	NA	NA
coadread_dfci_2016	coadread_dfci_2016_111	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2674	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3184	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4514	NA	NA
coadread_dfci_2016	coadread_dfci_2016_677	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3249	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2932	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1250	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2370	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2281	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3446	NA	NA
coadread_dfci_2016	coadread_dfci_2016_280	NA	NA
coadread_dfci_2016	coadread_dfci_2016_331889	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2946	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3610	NA	NA
coadread_dfci_2016	coadread_dfci_2016_62	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2397	NA	NA
coadread_dfci_2016	coadread_dfci_2016_84	NA	NA
coadread_dfci_2016	coadread_dfci_2016_312708	NA	NA
coadread_dfci_2016	coadread_dfci_2016_372	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3253	NA	NA
coadread_dfci_2016	coadread_dfci_2016_33	NA	NA
coadread_dfci_2016	coadread_dfci_2016_287	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4503	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3110	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2365	NA	NA
coadread_dfci_2016	coadread_dfci_2016_132	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3301	NA	NA
coadread_dfci_2016	coadread_dfci_2016_42	NA	NA
coadread_dfci_2016	coadread_dfci_2016_299	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2225	NA	NA
coadread_dfci_2016	coadread_dfci_2016_402	NA	NA
coadread_dfci_2016	coadread_dfci_2016_251	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3415	NA	NA
coadread_dfci_2016	coadread_dfci_2016_336	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3427	NA	NA
coadread_dfci_2016	coadread_dfci_2016_613	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3437	NA	NA
coadread_dfci_2016	coadread_dfci_2016_213	NA	NA
coadread_dfci_2016	coadread_dfci_2016_498	NA	NA
coadread_dfci_2016	coadread_dfci_2016_636	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2999	NA	NA
coadread_dfci_2016	coadread_dfci_2016_561	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3205	NA	NA
coadread_dfci_2016	coadread_dfci_2016_306	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2323	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3442	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2982	NA	NA
coadread_dfci_2016	coadread_dfci_2016_114	NA	NA
coadread_dfci_2016	coadread_dfci_2016_73	NA	NA
coadread_dfci_2016	coadread_dfci_2016_430	NA	NA
coadread_dfci_2016	coadread_dfci_2016_687	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3005	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1798	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3227	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4525	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3637	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2764	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2565	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2945	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3669	NA	NA
coadread_dfci_2016	coadread_dfci_2016_253	NA	NA
coadread_dfci_2016	coadread_dfci_2016_304	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3182	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2812	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2445	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3305	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2635	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1216	NA	NA
coadread_dfci_2016	coadread_dfci_2016_167191	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3169	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2954	NA	NA
coadread_dfci_2016	coadread_dfci_2016_485	NA	NA
coadread_dfci_2016	coadread_dfci_2016_250	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3172	NA	NA
coadread_dfci_2016	coadread_dfci_2016_164668	NA	NA
coadread_dfci_2016	coadread_dfci_2016_101930	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3022	NA	NA
coadread_dfci_2016	coadread_dfci_2016_607	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1208	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1254	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3430	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1761	NA	NA
coadread_dfci_2016	coadread_dfci_2016_344	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3602	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1797	NA	NA
coadread_dfci_2016	coadread_dfci_2016_497	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2342	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3088	NA	NA
coadread_dfci_2016	coadread_dfci_2016_292	NA	NA
coadread_dfci_2016	coadread_dfci_2016_50	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3651	NA	NA
coadread_dfci_2016	coadread_dfci_2016_236849	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1848	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2220	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1206	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2992	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1745	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3483	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2963	NA	NA
coadread_dfci_2016	coadread_dfci_2016_688	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3029	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3010	NA	NA
coadread_dfci_2016	coadread_dfci_2016_93	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3421	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3534	NA	NA
coadread_dfci_2016	coadread_dfci_2016_256	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1236	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1244	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1804	NA	NA
coadread_dfci_2016	coadread_dfci_2016_195	NA	NA
coadread_dfci_2016	coadread_dfci_2016_123	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1760	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3019	NA	NA
coadread_dfci_2016	coadread_dfci_2016_662	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3481	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2416	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3621	NA	NA
coadread_dfci_2016	coadread_dfci_2016_419	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3330	NA	NA
coadread_dfci_2016	coadread_dfci_2016_676	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2259	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2759	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2966	NA	NA
coadread_dfci_2016	coadread_dfci_2016_492	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2808	NA	NA
coadread_dfci_2016	coadread_dfci_2016_255	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2410	NA	NA
coadread_dfci_2016	coadread_dfci_2016_291403	NA	NA
coadread_dfci_2016	coadread_dfci_2016_237641	NA	NA
coadread_dfci_2016	coadread_dfci_2016_437	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1844	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2261	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4491	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3632	NA	NA
coadread_dfci_2016	coadread_dfci_2016_197908	NA	NA
coadread_dfci_2016	coadread_dfci_2016_412	NA	NA
coadread_dfci_2016	coadread_dfci_2016_270033	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1772	NA	NA
coadread_dfci_2016	coadread_dfci_2016_343654	NA	NA
coadread_dfci_2016	coadread_dfci_2016_302873	NA	NA
